same_section,stem_glove_softcosine,lemma_glove_softcosine,Stem_fasttext_softcosine,lemme_fasttext_softcosine,stem_tfidf_cosine,stem_cv_cosine,lemma_tfidf_cosine,lemma_cv_cosine
0,0.315592469,0.397773297,0.162362529,0.1773455,0.01399439,0.027101963,0.005702211,0.01116239
0,0.273697827,0.393180286,0.251875146,0.238584955,0.021659642,0.041688829,0.021565087,0.041501571
0,0.162283159,0.256422465,0.080826047,0.115833963,0.006677021,0.013099625,0.007181733,0.014084158
1,0.436494329,0.550338596,0.306040582,0.358890505,0.044249991,0.082757449,0.034540549,0.065360645
0,0.369295017,0.452352042,0.262885756,0.300672564,0.038162805,0.07100937,0.037801268,0.070569193
0,0.275230886,0.351512145,0.234606483,0.269026018,0.030641932,0.058328533,0.017748224,0.034264262
0,0.446649238,0.557028737,0.346011738,0.451436309,0.063459857,0.117600272,0.058589121,0.109305918
0,0.386937172,0.533579186,0.228018837,0.340285953,0.026181165,0.050317371,0.027676007,0.053102918
0,0.449436183,0.546029396,0.315463429,0.379779926,0.053100584,0.098832011,0.042754731,0.080994095
0,0.414483217,0.491984388,0.336816181,0.357521534,0.053076971,0.098761184,0.028381054,0.054114616
0,0.38836399,0.474059393,0.346137381,0.392148023,0.068535886,0.126711728,0.041001634,0.077739001
1,0.349726229,0.526302064,0.303948795,0.392108777,0.060841685,0.111359582,0.042902839,0.079932104
0,0.48468579,0.570845036,0.254403252,0.336931961,0.039598725,0.07413819,0.029922566,0.056586989
0,0.338651459,0.392866131,0.182978105,0.176165195,0.027296003,0.052201027,0.020907016,0.040422604
0,0.462846436,0.628764136,0.352001815,0.43294948,0.065218686,0.120013717,0.054344272,0.101091844
0,0.397105759,0.501672657,0.304217306,0.327889921,0.057367418,0.105518318,0.036357874,0.068447603
0,0.474078741,0.562042885,0.317677874,0.34512692,0.067639521,0.124058594,0.045427826,0.085114705
1,0.470592302,0.562123276,0.350864909,0.395920424,0.088062451,0.159010849,0.075095338,0.137275449
0,0.451255228,0.532680389,0.395289782,0.4513663,0.098641915,0.176944018,0.059012287,0.109136016
1,0.245526058,0.335196469,0.170002146,0.197061821,0.037142701,0.069444444,0.024672461,0.047565149
0,0.354769291,0.422150514,0.218157596,0.262989753,0.034998262,0.066720064,0.03660341,0.069666538
0,0.37641595,0.448860822,0.236761506,0.222529927,0.039407044,0.074458079,0.029656438,0.05666685
1,0.365629145,0.445259411,0.253524643,0.264955275,0.03968312,0.074458079,0.035629635,0.067115606
0,0.491795433,0.517608667,0.369664656,0.421100657,0.086409014,0.156127651,0.089908003,0.161624407
0,0.545356691,0.694914161,0.490392161,0.619781954,0.137169355,0.23253718,0.133780512,0.226578967
0,0.503198432,0.618014855,0.428551918,0.508239807,0.087593046,0.157775821,0.065842959,0.12157526
0,0.400426954,0.56868439,0.263305625,0.435072436,0.053744502,0.09849555,0.032229396,0.06061806
1,0.361584945,0.442261228,0.13858167,0.176131369,0.015586298,0.029973708,0.016181141,0.031024517
0,0.457597743,0.485148719,0.298893881,0.340696744,0.06196368,0.113603209,0.04577235,0.086251778
0,0.500137551,0.583316494,0.404482241,0.476339382,0.087674803,0.15779062,0.073837274,0.134084762
0,0.480139846,0.507023381,0.469304471,0.484074779,0.121018691,0.211480423,0.080397759,0.145864991
0,0.279940676,0.290429406,0.286777673,0.284905961,0.057457275,0.106501608,0.017139367,0.033031916
0,0.129391828,0.307339544,0.135130532,0.296155522,0.02978788,0.057054433,0.030177154,0.05778127
1,0.274004945,0.403012694,0.233937159,0.411493435,0.061980165,0.114769521,0.041501358,0.078192905
0,0.41974564,0.49039515,0.32229515,0.413523588,0.05108447,0.095569136,0.048532639,0.091161006
0,0.324091793,0.53106205,0.303682641,0.393576119,0.06495873,0.118345267,0.052995256,0.097785775
1,0.288985611,0.437061812,0.317082302,0.335910401,0.052208063,0.096609178,0.0428644,0.079962473
0,0.313366702,0.52787948,0.348985374,0.421277833,0.05441552,0.101430103,0.068831388,0.127256953
0,0.38281929,0.509401013,0.417658239,0.531119213,0.101245543,0.181194277,0.098160148,0.176252911
0,0.534990006,0.573572254,0.513145882,0.540696553,0.131600202,0.227832657,0.110278028,0.194603077
0,0.45202279,0.547737222,0.448035232,0.471077735,0.093043139,0.16283657,0.050740131,0.092835165
0,0.246514853,0.380718542,0.195148278,0.289310588,0.032751852,0.062577001,0.025893667,0.04982238
0,0.108419796,0.222939441,0.020471116,0.069141974,0,0,0,0
1,0.284497347,0.376549379,0.160573622,0.262704549,0.021969712,0.042354634,0.013684139,0.026593488
0,0.387667295,0.48257152,0.249730121,0.330906021,0.044042352,0.08271692,0.025750759,0.049469501
0,0.409341572,0.569444083,0.242097873,0.433748896,0.032252965,0.061078194,0.023222528,0.044485826
0,0.355385233,0.443649768,0.290980642,0.364762764,0.02972707,0.056707647,0.003881931,0.007630698
0,0.329141989,0.41159443,0.22712875,0.302943855,0.063636619,0.117916658,0.063636619,0.117916658
0,0.352440929,0.51027586,0.205618925,0.354444628,0.040726947,0.077271518,0.042284329,0.080112711
0,0.405004265,0.500319117,0.297483673,0.351231218,0.064053711,0.116138271,0.037379864,0.070110992
1,0.556138764,0.535868428,0.432039343,0.503474024,0.057760043,0.104268541,0.020645834,0.039706128
1,0.202520931,0.277540592,0.118379745,0.159677029,0.023060551,0.04454354,0.023888044,0.046106945
0,0.269724247,0.38215886,0.176121765,0.25421595,0.031196175,0.059587957,0.013274812,0.025796969
0,0.286332696,0.399960307,0.27987724,0.349338819,0.047585485,0.088659329,0.029773955,0.056876969
0,0.134542618,0.227780892,0.148052789,0.260405244,0.013496318,0.026302132,0.007103356,0.013931955
0,0.53929195,0.556648391,0.482880025,0.457453496,0.141453388,0.242018668,0.119059015,0.207658088
0,0.139338937,0.191348584,0.10322316,0.124093623,0.024853669,0.047860451,0.025370271,0.04883135
0,0.303467151,0.40158753,0.278549811,0.345199983,0.038095557,0.071790676,0.038095557,0.071790676
0,0.547915516,0.581831956,0.490285441,0.532594325,0.11523703,0.203214411,0.109657165,0.194565786
0,0.582095978,0.652767243,0.480312867,0.559222199,0.146264832,0.250928302,0.138151683,0.239197642
0,0.677894444,0.686807059,0.586199661,0.662206572,0.187363061,0.310880914,0.15899759,0.268447407
0,0.646420424,0.711221216,0.554842155,0.639634038,0.206066395,0.335235719,0.181808611,0.301015335
0,0.416398411,0.506807031,0.275155509,0.402824406,0.060368576,0.112408879,0.043520313,0.082408564
0,0.528965883,0.562891161,0.429843662,0.496633418,0.094897349,0.169127523,0.091016911,0.162899702
